girl_id,name_official_eng,name_romanization_eng,name,image_name,age,authority,birthday_date,birthday,blood,bust,class_name,club,club_eng,cv,cv_eng,description,description_eng,favorite_food,favorite_food_eng,favorite_subject,favorite_subject_eng,girl_type,hated_food,hated_food_eng,height,hip,hobby,hobby_eng,horoscope,horoscope_eng,name_hiragana,nickname,nickname_eng,school,school_eng,tweet_name,waist,weight,year,created_at
41,Hina Nigaki,Hina Niigaki,新垣雛菜,7b2e3f99a97b354d2a59b005441f55d6,17,Students,2015-12-13,1983-12-13,O,79,2A,帰宅部,Going Home Club,米澤円,Madoka Yonezawa,ピンクを紫に染め分けた髪が印象的な2年生。<br>実家は美容室で、美容師である母に憧れて本人もその道を志している。<br>ヘアアレンジの腕前はプロ顔負けで、学園の生徒たちのカットも請け負う。,,とろろこんぶ,Tororo Konbu,美術,Art,SWEET,ゆで卵,Boiled Eggs,155,80,前髪をきれいに切る、ヘアアレンジ,Keeping Her bangs Neatly Trimmed and Arranging Her Hair,いて座,Sagittarius,にいがき ひな,新垣,,聖櫻学園,Seiou Academy,hina_beautician,55,47,2,2016-10-30 23:41:30
42,Yukie Yatsuka,Yukie Yatsuka,八束由紀恵,dc2bbe3691eb59e282aa1d4037ae60ea,17,Students,2015-04-02,1983-04-02,O,70,2C,学級委員,Class Representative,今井麻美,Asami Imai,いつも落ち着いていて、<br>てきぱきと物事をこなす学級委員。<br>しっかり者に見えるが、やることは意外と大雑把。<br>日常ではPCや携帯電話を普通に使いこなしているが、趣味は昔ながらの文通。,,八橋,Yatsuhashi,世界史,World History,COOL,ししとう,Green Pepper,161,73,文通,Chatting,おひつじ座,Aries,やつか ゆきえ,八束,,聖櫻学園,Seiou Academy,8tuka,56,45,2,2016-10-30 23:41:30
43,Akane Sakurai,Akane Sakurai,櫻井明音,661eb8c8e22bc99f5060d7447a566c30,17,Students,2015-11-20,1983-11-20,A,85,2C,放送委員会,School Radio Broadcaster,佐藤利奈,Rina Sato,放送委員会の2年生。昼の放送でパーソナリティを担当している有名人で、<br>将来はアナウンサーになるのが夢。<br>明るく朗らかな性格で、<br>気配りもできるクラスの頼れる人気者。<br>ポニーテールに強いこだわりがある。,,メロン,Melons,現代社会,Modern Society,POP,梅干し,Dried Plums,160,87,早口言葉、リボンやシュシュ収集,Tongue Twisters and Collecting Ribbons,さそり座,Scorpio,さくらい あかね,櫻井,,聖櫻学園,Seiou Academy,akane_S,58,48,2,2016-10-30 23:41:30
44,Kodama Yamano,Kodama Yamano,山野こだま,02f0126b1b4a9a4b462487c4d0fdce0c,16,Students,2015-11-11,1984-11-11,B,80,1B,ワンダーフォーゲル部,Bird Watching Club,南里侑香,Yuuka Nanri,エベレスト登頂に憧れる、<br>ほんわか少女。物腰がやわらかく、<br>友達思いで優しい。<br>小柄だが、大股で歩くためスピードは早い。<br>山登りのほかに鳥が好きで、<br>登山の際は野鳥観察を欠かさずに行う。,,クリームシチュー,Cream Stew,美術,Art,SWEET,タコ,Octopus,146,82,バードウォッチング、登山,Bird Watching and Rock Climbing,さそり座,Scorpio,やまの こだま,山野,,聖櫻学園,Seiou Academy,coda_mountain,63,48,1,2016-10-30 23:41:30
45,Shiori Shiratori,Shiori Shiratori,白鳥詩織,bff0b4923d766ce178dcf3179bc1aa27,16,Students,2015-12-11,1984-12-11,A,72,2C,合唱部,Chorus,高橋美佳子,Mikako Takahashi,引っ込み思案な合唱部の2年生。<br>歌唱力は高いが、個人で歌う勇気がなかったため合唱を選んだ。<br>恥ずかしがりやで人見知りが激しいものの、いったん打ち解けた相手には親密に接する。,,ハチミツ,Honey,音楽,Music,SWEET,辛い物全般,Anything With A Very Strong Flavor,156,75,オペラ、洋楽鑑賞,Watching Operas and Observing The World,いて座,Sagittarius,しらとり しおり,白鳥,,聖櫻学園,Seiou Academy,swansong,55,45,2,2016-10-30 23:41:30
46,Yulia Valkova,Yulia Valkova,ユーリヤ・ヴャルコワ,c32df62b00b70bcbcf45bc6c069df6ba,15,Students,2015-02-12,1985-02-12,O,73,1B,バレエ部,Ballet Club,上坂すみれ,Sumire Uesaka,ロシアからの留学生。<br>3歳からバレエを習っており、その所作の美しさはダンスの授業に見物人が出るほど。<br>趣味は一人旅で、ふらりとどこかに出かけてしまう。同じ留学生のクロエ・ルメールとは仲が良い。,,ピロシキ,Piroshki,美術,Art,SWEET,糠漬け,Pickles,157,75,旅行、ストレッチ,Stretching and Traveling,みずがめ座,Aquarius,ゆーりや ?ゃるこわ,ユーリヤ,,聖櫻学園,Seiou Academy,Yulia_attitude,60,43,1,2016-10-30 23:41:30
47,Moeka Nitta,Moeka Nitta,新田萌果,b9c5356a50b3e41a6d57144711423480,16,Students,2015-11-14,1984-11-14,AB,85,1A,演劇部,Drama Club,村田知沙,Tomosa Murata,演劇部所属で、将来は女優を目指す1年生。抜群の演技力を誇る。<br>キュートなルックスの持ち主で男子からの人気が高いが、小悪魔的な一面があり、<br>甘い口調で話していながらもたびたび毒が混じる。,,大豆,Soybeans,現代国語,Modern Languages,SWEET,イカ,Squid,145,85,観劇、犬をかわいがる,Practicing Theater Performances and Walking Her Dog,さそり座,Scorpio,にった もえか,新田,,聖櫻学園,Seiou Academy,moe_act,56,45,1,2016-10-30 23:41:30
48,Nanase Minamida,Nanase Minamida,南田七星,54cc2afbaac339bf0d0311f8874e1a5c,17,Students,2015-07-07,1983-07-07,AB,78,2C,天文部,Astrology Club,原紗友里,Sayuri Hara,夜空に輝く星を愛する少女。<br>優しく親切で、やや夢見がち。<br>普段から空を見上げているため、よく何かにつまづいて転ぶ。<br>変わり者で思考があちこちに飛ぶため、他人と話がかみ合わないことがある。,,こんぺいとう,Konpeito,地学,Geoscience,SWEET,ちくわぶ,Chikuwabu,157,80,天体観測、神話,Astronomical Observation and Studying Mythology,かに座,Cancer,みなみだ ななせ,南田,,聖櫻学園,Seiou Academy,sevenstars,58,47,2,2016-10-30 23:41:30
49,Mai Masaoka,Mai Masaoka,正岡真衣,5960668d9981d6be4253b8b35835eefa,18,Students,2015-09-09,1982-09-09,O,69,3B,帰宅部,Going Home Club,斎藤桃子,Momoko Saito,生まれつき身体が弱く、<br>かつては入退院を繰り返していた。<br>後ろ向きの発言が多いものの、<br>苦境に慣れているせいか精神は強い。<br>色白で直射日光に弱く、外出には日傘が欠かせない。健康情報と寝具に詳しい。,,カステラ,Castella,保健体育,Health and Physical Education,COOL,粥,Gruel,149,70,健康情報、寝具試し,Giving Out Health Information and Testing Mattresses and Bedding,おとめ座,Virgo,まさおか まい,正岡先輩,,聖櫻学園,Seiou Academy,masamai,53,38,3,2016-10-30 23:41:30
50,Akiho Shigeto,Akiho Shigeto,重藤秋穂,9589e59f90f17c1efec712e3714f8c1b,18,Students,2015-09-10,1982-09-10,A,78,3B,弓道部,Archery Club,豊口めぐみ,Megumi Toyoguchi,弓道部の部長を務める3年生。<br>クールビューティーらしい立ち居振る舞いで、同姓からの人気が高い。<br>基本的にはしっかり者だが、集中しすぎて周りが見えなくなったり、何も考えずにぼんやりとしていたりと心配な面も。,,クリームコロッケ,Cream Croquettes,古典,Classic Literature,COOL,スイカ,Watermelon,169,82,瞑想,Meditation,おとめ座,Virgo,しげとう あきほ,重藤先輩,,聖櫻学園,Seiou Academy,akiho_shigetou,57,48,3,2016-10-30 23:41:30
51,Nao Miyoshi,Nao Miyoshi,見吉奈央,de05c0c41b03ab28c8e707a79cb86b25,16,Students,2015-01-16,1984-01-16,O,83,2C,帰宅部,Going Home Club,内田真礼,Maaya Uchida,ファッションモデルをしている2年生。<br>学校ではあまりやる気を見せないが、身だしなみを整えるとスイッチが入ってハキハキとした調子になる。<br>体型の維持や流行のチェックには常に気を配っている。,,こんにゃく,Konjac,なし,None,COOL,青海苔,Green Nori,170,85,ファッション全般,Fashion,やぎ座,Capricorn,みよし なお,見吉,,聖櫻学園,Seiou Academy,nao_min,53,45,2,2016-10-30 23:41:30
52,Nagiko Kurokawa,Nagiko Kurokawa,黒川凪子,f6ac53e5171b0f7bd356c22b9a31f8bc,16,Students,2015-02-02,1984-02-02,B,79,2B,軽音部,Light Music Club,後藤沙緒里,Saori Goto,"軽音部の2年生。<br>
ガールズバンド「にゅーろん★くりぃむそふと」での担当楽器はベース。<br>
普段は口数が少なく品行方正だが、盛り上がってくるとベースを振り回したり激しくシャウトしたり別人のようになる。",,ドクペ（ド○ター・ペッパー）,Dokupe (Dr.Pepper),音楽,Music,COOL,グリンピース,Green Peas,158,81,パンクロック、フィギュア集め,Being Punk and Collecting Figures,みずがめ座,Aquarius,くろかわ なぎこ,黒川,,聖櫻学園,Seiou Academy,dupe_nageek,56,48,2,2016-10-30 23:41:30
53,Chizuru Onodera,Chizuru Onodera,小野寺千鶴,c504a65b6be89b7167c0f37d54291ec5,18,Students,2015-12-21,1982-12-21,AB,82,3C,マンガ研究部,Manga Research Club,儀武ゆう子,Yuko Gibu,マンガ研究部の3年生。<br>面倒見が良く、人望が厚い。原稿の締め切りに追われていることが多く、煮詰まり具合でテンションが激しく上下する。<br>漫画制作に対する意欲が高く、何を見ても参考資料にしようとする癖がある。,,栄養ドリンク,Energy Drinks,美術,Art,POP,牛乳,Milk,164,83,漫画、アニメ,"Reading Manga, Drawing Manga, and Watching Anime",いて座,Sagittarius,おのでら ちづる,小野寺先輩,,聖櫻学園,Seiou Academy,kuramori,60,49,3,2016-10-30 23:41:30
54,Kazuha Kumada,Kazuha Kumada,熊田一葉,5ea1d2831d3ec3607e07916541e053f1,17,Students,2015-12-09,1983-12-09,A,78,2C,柔道部,Judo Club,佐倉綾音,Ayane Sakura,柔道部の2年生。<br>子供の頃から柔道一直線で、考えるより体力で解決しようとするタイプ。<br>大雑把で細かいことは気にしない。<br>女子らしい振る舞いはあまりないが、常に他人を気遣う。,,牛丼,Beef Bowls,体育,Physical Education,POP,サラダ,Salads,162,78,柔道、マッサージ,Practicing Judo and Getting Massages,いて座,Sagittarius,くまだ かずは,熊田,,聖櫻学園,Seiou Academy,minibear,62,48,2,2016-10-30 23:41:30
55,Sonomi Kakei,Sonomi Kakei,掛井園美,b68d6230e7a354262a9c6d24a61cca83,17,Students,2015-08-01,1983-08-01,AB,82,2C,帰宅部,Going Home Club,大坪由佳,Yuka Otsubo,BL本やアニメが大好きで、常に妄想を繰り広げている生粋の腐女子。<br>「×」が間に入っていればどんなものからも妄想を膨らませることが可能で、しばしば暴走気味になる。<br>画力には恵まれず、購入専門。,,カレー,Curry,古典,Classic Literature,POP,焼きそば,Pan-Fried Noodles,156,83,漫画アニメ、即売会、妄想,"Reading Manga, Watching Anime, Touring Anime/Manga Locations in Person, and Fantasizing",しし座,Leo,かけい そのみ,掛井,,聖櫻学園,Seiou Academy,xsonominx,60,47,2,2016-10-30 23:41:30
56,Mayuri Oyama,Mayuri Oyama,大山真由里,b015245e3284160ce8f490d549e205a9,16,Students,2015-10-25,1984-10-25,A,77,1A,空手部,Karate Club,大久保瑠美,Rumi Okubo,空手に打ち込む体育会系熱血少女。<br>思い込んだら一直線。<br>決して真面目なタイプではないが、正義感は強く、悪いことは悪いとはっきり言う。<br>思考が単純で思い込みが激しいので、よく人に騙される。,,チャーハン,Fried Rice,体育,Physical Education,POP,わさび,Wasabi,155,77,空手、格闘技観戦,Practicing Karate and Watching Martial Arts Films,さそり座,Scorpio,おおやま まゆり,大山,,聖櫻学園,Seiou Academy,mayumayurin,58,46,1,2016-10-30 23:41:30
57,Remi Tamai,Remi Tamai,玉井麗巳,11c5bc58e336d1422c88780c9c3c3646,17,Students,2015-01-31,1983-01-31,O,76,3C,ゴルフ部,Golf Club,下屋則子,Noriko Shitaya,明るく能天気なゴルフ部員の3年生。<br>頭を使うことは苦手。だが、それ以外の勝負にはこだわりがあり、特にゴルフに関しては真剣に勝ちを狙いにいく。<br>腋が甘く無防備で、少しぐらい見えていても気にしない。,,シュウマイ,Dumplings,なし,None,POP,きなこ,Flour,163,78,ゴルフ,Playing Golf,みずがめ座,Aquarius,たまい れみ,玉井先輩,,聖櫻学園,Seiou Academy,remi_niceshot,56,48,3,2016-10-30 23:41:30
58,Nae Yuki,Nae Yuuki,優木苗,e394f1b98dbab487b31074fa7a14f8b6,15,Students,2015-03-31,1985-03-31,O,68,1B,手芸部,Handicrafts Club,日高里菜,Rina Hidaka,手芸部の1年生。<br>可愛いものが好きで、自分の部屋は自作・他作を問わずぬいぐるみであふれている。性格は幼い外見に違わず純真。<br>素直すぎるがゆえ、場の空気を凍らせるような発言をすることも。,,イチゴ,Strawberries,家庭科,Home Economics,SWEET,レーズン,Raisins,143,70,あみぐるみ・ぬいぐるみ集め,Knitted Plushie Collection,おひつじ座,Aries,ゆうき なえ,優木,,聖櫻学園,Seiou Academy,yuu_na,53,42,1,2016-10-30 23:41:30
59,Rei Shinonome,Rei Shinonome,東雲レイ,43922040ad2cff8fdbce054a45ea9b06,17,Students,2015-09-28,1983-09-28,AB,70,2C,帰宅部,Going Home Club,喜多村英梨,Eri Kitamura,自宅に10台のPCを構えるハッキング少女。<br>プライドが高く、あまのじゃくな性格。<br>成績は非常に優秀だが、出席率は低い。<br>一人暮らしをしており、<br>食事は外食で済ませることが多いらしい。,,ペパロニピザ,Pepperoni Pizza,数学,Mathematics,COOL,烏龍茶,Oolong Tea,153,73,ハッキング　バグ探り　Lisp（プログラミング言語）,Hacking and Programming,てんびん座,Libra,しののめ れい,東雲,,聖櫻学園,Seiou Academy,blue_cloud,55,46,2,2016-10-30 23:41:30
60,Kise Yukawa,Kise Yukawa,湯川基世,7939185370646661e65510e71a939dbe,16,Students,2015-01-23,1984-01-23,AB,72,2A,化学部,Chemistry Club,金元寿子,Hisako Kanemoto,制服の上から白衣を羽織っている。<br>研究大好きな化学部の副部長。<br>いつも屋内で研究に没頭している。<br>ぐるぐる眼鏡を外せば可愛い素顔が現れるが、自分の容姿には興味がない。,,カレー,Curry,化学,Chemistry,POP,ピーマン,Green Pepper,148,75,調合、解明、構築,"Coming Up With Formulations, Testing Formulations, and Creating Things",みずがめ座,Aquarius,ゆかわ きせ,湯川,,聖櫻学園,Seiou Academy,yuckchemistry,54,44,2,2016-10-30 23:41:30
61,Ichigo Kohinata,Ichigo Kohinata,小日向いちご,2df7246c2a7cbf52ec7d6ff05a9f1e35,15,Students,2015-01-05,1985-01-05,O,83,1B,美術部,Art Club,竹達彩奈,Ayana Taketatsu,朝昼晩の食事で必ず果物を食べるほどのフルーツ好きで、よく絵も描いている。<br>マイペースでいつも柔らかな雰囲気を漂わせているが、あわてん坊な一面もある。<br>唯一苦手なドリアンを克服する野望を持つ。,,イチゴ、桃,Strawberries and Peaches,美術,Art,SWEET,ドリアン,Durians,146,82,美術館めぐり、フルーツデコ,Making Decorative Fruit and Touring Museums,やぎ座,Capricorn,こひなた いちご,小日向,,聖櫻学園,Seiou Academy,momoichigo,57,45,1,2016-10-30 23:41:30
62,Miss Monochrome,Miss Monochrome,ミス・モノクローム,90ad3fd3947e367e14f32d72a0e0db4a,-1,Students,NULL,NULL,,-1,2C,帰宅部,Going Home Club,堀江由衣,Yui Horie,謎のアンドロイド。<br>なぜか自我が芽生え、研究の一環として感情を学習する目的で学園に転入してきた。<br>常識や感情の機微に疎いため、ズレたボケやきつすぎるツッコミが飛び出すこともしばしば。,,電池、海苔弁当、うな○パイ,Batteries and Nori Bento,"???
",,COOL,ジェリービーンズ、黒酢,Jelly Beans and Black Vinegar,155,-1,人間観察　鳥の餌やり,"Observing Humans, Feeding Birds",,,みす ものくろーむ,モノクローム,,聖櫻学園,Seiou Academy,,-1,-1,2,2016-10-30 23:41:30
63,Kinoko Himejima,Kinoko Himejima,姫島木乃子,41cd729df7be8b9a9f27fa9224a6e4c8,17,Students,2015-06-03,1983-06-03,B,69,2C,帰宅部,Going Home Club,水橋かおり,Kaori Mizuhashi,ゲームやアニメが大好きな学園屈指の変わり者。<br>引きこもり体質で何かと学校をサボりたがるが、たまに出席してもずっと寝ている。<br>あだ名は「しめじ」で、クラスの大半が彼女の本名を忘れてしまっている。,,きのこの森,Forest Mushrooms,生物,Creature Studies,POP,たけのこの林,Bamboo Shoots,145,70,ゲーム、アニメ,Gaming and Watching Anime,ふたご座,Gemini,ひめじま きのこ,姫島,,聖櫻学園,Seiou Academy,honshimeji,53,42,2,2016-10-30 23:41:30
64,Chloe Lemaire,Chloe Lemaire,クロエ・ルメール,b4c1f4db46d5b9e9eda357c0cbf09716,17,Students,2015-03-08,1983-03-08,O,86,3A,日本文化研究会,Japanese Culture Research Association,丹下桜,Sakura Tange,アニメをきっかけに日本に興味を持ち、<br>フランスからやってきた留学生。<br>やや舌足らずの日本語を話す。<br>好奇心旺盛で行動力抜群だが、<br>常識外れの行動で困った事態を引き起こすことも。,,お寿司,Sushi,美術,Art,SWEET,奈良漬,Pickled Vegetables,167,88,寺社仏閣、旅行,Traveling To Various Temples and Shrines Across Japan,うお座,Pisces,くろえ るめーる,クロエ先輩,,聖櫻学園,Seiou Academy,chloe_jplove,60,49,3,2016-10-30 23:41:30
65,Kokomi Shina,Kokomi Shiina,椎名心実,70fbd1ab80be24292846b07840eb71bc,17,Students,2015-05-31,1983-05-31,O,83,2B,新体操部,Rhythmic Gymnastics Club,佐藤聡美,Satomi Sato,ミス聖櫻コンテストで常に上位をキープする、学園のマドンナ的存在。<br>才色兼備の優等生で、優しく誰にでも気さくに接する。<br>甘いものが大好きだが、新体操をしているため控えめにしている。,,メロンパン,Melonpan,英語,English,COOL,ツナ,Tuna,160,85,アロマキャンドル,Collecting Aromatherapy Candles,ふたご座,Gemini,しいな ここみ,椎名,,聖櫻学園,Seiou Academy,sheena_heart,58,48,2,2016-10-30 23:41:30
66,Yoko Tsukishiro,Yoko Tsukishiro,月白陽子,9ee9ad399532ef1fd697d99c8b3a097f,-1,Teachers,2015-01-09,1970-01-09,A,86,Teacher,英語研究会,English Study Group,遠藤綾,Aya Endo,英語教師。<br>一見すると真面目で厳しい堅物だが、中身は柔和で少し気弱なお姉さん。<br>生徒に軽く見られないように外見を固めているものの、髪を下ろしてメイクを落とすと本来の性格に戻る。,,クレープ,Crepes,英語,English,COOL,酒類,Alcoholic Drinks,161,88,料理、編み物,Cooking and Knitting,やぎ座,Capricorn,つきしろ ようこ,月白先生,,聖櫻学園,Seiou Academy,tukihi,57,49,-1,2016-10-30 23:41:30
67,Fumio Murakami,Fumio Murakami,村上文緒,68a504caa80cd5e11b6c2f665dbe8d17,18,Students,2015-11-02,1982-11-02,B,86,3A,図書委員会,Library Assistant,名塚佳織,Kaori Nazuka,口数が少なく、いつも本を読んでいる図書委員。<br>感情表現が苦手で口下手のため、うまく他人と打ち解けられないが、それでも自分に声をかけてくれる人には感謝している。<br>望月エレナと仲が良い。,,ケーキ,Cake,古典,Classic Literature,COOL,レバー,Liver,160,86,読書,Reading,さそり座,Scorpio,むらかみ ふみお,村上先輩,,聖櫻学園,Seiou Academy,humi_bookmark,56,45,3,2016-10-30 23:41:30
68,Noriko Kiryu,Noriko Kiryu,霧生典子,bb1de90e8a0a96ba83b7078d6beaec7f,17,Students,2015-10-20,1983-10-20,A,74,2C,風紀委員会,Discipline Committee,白石涼子,Ryoko Shiraishi,自由すぎる聖櫻学園の校風を正すために奮闘する風紀委員。<br>冗談好きという一面もあるが、笑いのセンスがどこかズレており、口にしても通じないことが多い。<br>長身にコンプレックスを持っている。,,幕の内弁当,Makunouchi,数学,Mathematics,COOL,もんじゃ焼き,Monjayaki,171,78,掃除、整理整頓,Cleaning and Organizing,てんびん座,Libra,きりゅう のりこ,霧生,,聖櫻学園,Seiou Academy,noriko_kiryu,58,49,2,2016-10-30 23:41:30
69,Shuri Furuya,Shuri Furuya,古谷朱里,0f7795cd6bd14c8fea1efec44edfba48,17,Students,2015-06-18,1983-06-18,O,75,2C,考古学研究会,Archaeological Research Society,小清水亜美,Ami Koshimizu,考古学研究会に所属する2年生。<br>オーパーツや七不思議などのオカルトまがいの歴史が大好きで、映画に登場した考古学者堅苦しい雰囲気やじっとしていることが苦手。<br>運動神経は良い。,,缶詰,Canned Goods,世界史,World History,POP,マナーの厳しい料理,Gourmet Food,163,85,考古学　アウトドア,Archaeology and Outdoor Activities,ふたご座,Gemini,ふるや しゅり,古谷,,聖櫻学園,Seiou Academy,Sully_oldvalley,59,48,2,2016-10-30 23:41:30
70,Michiru Tomura,Michiru Tomura,戸村美知留,72140602bf058247987d8b26780d5834,16,Students,2015-06-26,1984-06-26,B,85,2C,帰宅部,Going Home Club,阿澄佳奈,Asumi Kana,いつも笑顔の前向きな楽天家。<br>コスプレイヤー「トムトムミッチー」としてコスプレ界隈では有名な存在。<br>完成度の高いコスチュームを毎回自作しており、その費用を捻出するためにアルバイトをいくつも掛け持ちしている。,,塩らーめん,Ramen,家庭科,Home Economics,POP,青汁,Green Juice,162,87,コス衣装制作、モノマネ,Making Costumes and Impersonating People,かに座,Cancer,とむら みちる,戸村,,聖櫻学園,Seiou Academy,tomtom_michiy,58,48,2,2016-10-30 23:41:30
71,Marika Saeki,Marika Saeki,佐伯鞠香,d02b1ca6a6328ac1f7853719f0600729,17,Students,2015-07-05,1983-07-05,A,79,2B,保健委員会,Nurse,伊藤かな恵,Kanae Itou,余りある奉仕精神を発揮する保健委員。<br>困難な状況ほど燃えるタイプだが、勢い任せで行動することが多い。<br>養護教諭の神崎ミコトのフォローがあって活躍できている部分もあるが、人のためになりたいという意欲は本物。,,やきそばパン,Yakisoba Pan,保健体育,Health and Physical Education,SWEET,グリンピース,Green Peas,155,82,ボランティア活動,Volunteering,かに座,Cancer,さえき まりか,佐伯,,聖櫻学園,Seiou Academy,mari_white,56,46,2,2016-10-30 23:41:30
72,Haruko Yumesaki,Haruko Yumesaki,夢前春瑚,57aa9a73d6adcc4783bfb0e78952c529,16,Students,2015-04-24,1984-04-24,AB,76,1C,園芸部,Gardening Club,茅野愛衣,Ai Kayano,いつも花壇の手入れをしている園芸部の1年生。植物学者を父に持ち、幼少から植物の世話ばかりしてきたため、人付き合いがやや苦手。<br>空想好きで、時と場所を選ばずぼんやりと何か考えていることが多い。,,サラダ,Salad,生物,Creature Studies,SWEET,スナック菓子,Junk Food,150,79,ガーデニング、空想,Gardening and Fantasizing,おうし座,Taurus,ゆめさき はるこ,夢前,,聖櫻学園,Seiou Academy,haluhalu_flower,54,43,1,2016-10-30 23:41:30
73,Eiko Hibara,Eiko Hibara,飛原鋭子,066dfaf693aab342dad6d0d95c1200d4,18,Students,2015-04-06,1982-04-06,A,77,3B,将棋部,Shogi Club,伊藤静,Shizuka Ito,将棋部部長。腕は確かで、高校の全国大会に毎回出場している。<br>自分にも他人にも厳しくストイックでクールな性格。<br>普段は冷静で何事にも動じないが、将棋を指しているときは様々な表情を見せる。,,西京漬け,Pickled Saikyo,数学,Mathematics,COOL,山芋,Yams,165,79,ラジオ鑑賞と投稿,Listening to The Radio and Calling in to Win Prizes,おひつじ座,Aries,ひばら えいこ,飛原先輩,,聖櫻学園,Seiou Academy,hibara,60,49,3,2016-10-30 23:41:30
74,Isuzu Shiranui,Isuzu Shiranui,不知火五十鈴,6b3b5b30788e41ecf71b4ab6a62c83fe,17,Students,2015-08-07,1983-08-07,AB,78,2A,華道部,Flower Arrangement Club,悠木碧,Aoi Yuki,華道部の2年生。<br>暗記力に優れ、成績優秀で学年トップ3に入る。ぶっきらぼうに見えるが、内心では友達を欲しがっている。<br>私服はそのほとんどが和服で、祖母から受け継いだものである。,,春菊,Garland Chrysanthemum,物理,Physics,COOL,肉,Meat,146,81,着物、人間観察,Collecting Kimonos and Observing People,しし座,Leo,しらぬい いすず,不知火,,聖櫻学園,Seiou Academy,i_shiranui,55,43,2,2016-10-30 23:41:30
75,Erena Mochizuki,Erena Mochizuki,望月エレナ,c29f6c1c3a2b65275e4046d4f2669742,18,Students,2015-05-25,1982-05-25,B,88,3A,写真部,Photography Club,原田ひとみ,Hitomi Harada,いつも愛用のデジタル一眼を手に学園中を走り回り、女の子の写真を撮りまくる校内屈指の有名人。<br>美人でグラマーなため男子生徒からの人気が高いが、本人が興味があるのは女子ばかり。,,チョコレート,Chocolate,英語,English,SWEET,大福,Daifuku,165,88,セルフポートレート、妄想、女の子,Taking Self Portraits and Fantasizing,ふたご座,Gemini,もちづき えれな,望月先輩,,聖櫻学園,Seiou Academy,verenav,55,48,3,2016-10-30 23:41:30
76,Rino Suzukawa,Rino Suzukawa,鈴河凜乃,fbe0e26a1c64f31431d34eb4d3e59c25,17,Students,2015-08-10,1983-08-10,B,73,2B,水泳部,Swimming Club,加藤英美里,Emiri Kato,明朗快活な性格の水泳部の2年生。<br>活発すぎてじっとしているのが苦手。<br>猫が大好きで、よく三毛猫の「大将」を連れて歩いている。<br>幼少期は身体が弱かったため、元気に過ごせることに幸せを感じている。,,親子丼,Bowl of Rice Topped With Chicken and Eggs,現代文,Modern Literature,POP,しいたけ,Shiitake Mushroom,157,72,散歩、肉球いじり,Walking and Playing With Cats,しし座,Leo,すずかわ りの,鈴河,,聖櫻学園,Seiou Academy,bell_rin,57,42,2,2016-10-30 23:41:30
77,Nonoka Sasahara,Nonoka Sasahara,笹原野々花,511706e8493dd6c0740d1cd1b27ee2d0,18,Students,2015-09-13,1982-09-13,O,90,3B,陶芸部,Pottery Club,戸松遥,Haruka Tomatsu,ふんわりとした癒し系の雰囲気を漂わせる。陶芸部の3年生。<br>グラマーでスタイル抜群だが自覚がなく、随所に脇の甘さを発揮して男性を困らせる。<br>祖父の喫茶店を手伝っているが、料理の腕はイマイチ。,,フレンチトースト,French Toast,英語,English,SWEET,牡蠣,Oysters,164,89,小鳥、入浴剤集め,Bird Watching and Bath Salt Collecting,おとめ座,Virgo,ささはらの のか,笹原先輩,,聖櫻学園,Seiou Academy,sasanono,58,47,3,2016-10-30 23:41:30
78,Saya Kagurazaka,Saya Kagurazaka,神楽坂砂夜,7957e500f413b389f0857ac911e6eaa5,18,Students,2015-09-03,1982-09-03,B,88,3B,新聞部,Newspaper Editors,寿美菜子,Minako Kotobuki,新聞部の部長を務める才女。<br>事情通で、校内の生徒の情報を山ほど持っている。一見クールに見えるが、実際は好奇心旺盛な性格。<br>気に入ったものほどいじめたくなるS気質の持ち主でもある。,,トマト,Tomatoes,日本史,Japanese History,COOL,にんじん,Carrots,164,88,アクアリウム、マッサージ,Touring Aquariums and Receiving Massages,おとめ座,Virgo,かぐらざか さや,神楽坂先輩,,聖櫻学園,Seiou Academy,s_kagura,55,44,3,2016-10-30 23:41:30
79,Tsugumi Harumiya,Tsugumi Harumiya,春宮つぐみ,09016224e4b05195494d24d65d79f656,17,Students,2015-05-05,1983-05-05,O,85,2C,陸上部,Track Club,高垣彩陽,Ayahi Takagaki,主人公のクラスメート。<br>陸上部で高跳びをしている。<br>ボーイッシュな印象が強く、女子にファンが多いが、内面は年相応にシャイで少女漫画が好きな乙女。恋愛ごとには奥手だが漫画のような恋に憧れがある。,,肉,Meat,体育,Physical Education,POP,生クリーム,Fresh Cream,165,78,少女漫画、トレーニング,Physical Training and Watching Shoujo Anime,おうし座,Taurus,はるみや つぐみ,春宮,,聖櫻学園,Seiou Academy,tugumi_spring,57,46,2,2016-10-30 23:41:30
